date,jeonse_index
2015/01,70.978
2015/02,71.42
2015/03,72.152
2015/04,72.942
2015/05,73.462
2015/06,74.12
2015/07,74.696
2015/08,75.254
2015/09,75.981
2015/10,76.426
2015/11,77.073
2015/12,77.451
2016/01,77.733
2016/02,77.993
2016/03,78.215
2016/04,78.395
2016/05,78.594
2016/06,78.807
2016/07,78.996
2016/08,79.129
2016/09,79.277
2016/10,79.527
2016/11,79.744
2016/12,79.848
2017/01,79.895
2017/02,79.917
2017/03,79.951
2017/04,80.011
2017/05,80.1
2017/06,80.354
2017/07,80.638
2017/08,80.923
2017/09,81.053
2017/10,81.203
2017/11,81.369
2017/12,81.509
2018/01,81.658
2018/02,81.756
2018/03,81.852
2018/04,81.846
2018/05,81.788
2018/06,81.759
2018/07,81.787
2018/08,81.931
2018/09,82.415
2018/10,82.809
2018/11,82.907
2018/12,82.828
2019/01,82.559
2019/02,82.278
2019/03,82.045
2019/04,81.911
2019/05,81.83
2019/06,81.769
2019/07,81.794
2019/08,81.889
2019/09,81.996
2019/10,82.19
2019/11,82.363
2019/12,82.675
2020/01,82.969
2020/02,83.181
2020/03,83.334
2020/04,83.391
2020/05,83.439
2020/06,83.733
2020/07,84.571
2020/08,85.567
2020/09,87.357
2020/10,88.543
2020/11,90.993
2020/12,92.801
2021/01,94.213
2021/02,95.25
2021/03,96.012
2021/04,96.548
2021/05,97.246
2021/06,98.684
2021/07,99.768
2021/08,100.873
2021/09,101.904
2021/10,102.401
2021/11,103.34
2021/12,103.809
2022/01,104.126
2022/02,104.239
2022/03,104.216
2022/04,104.284
2022/05,104.555
2022/06,104.728
2022/07,104.793
2022/08,104.646
2022/09,104.446
2022/10,103.753
2022/11,101.483
2022/12,98.148
2023/01,94.238
2023/02,91.761
2023/03,90.114
2023/04,88.999
2023/05,88.335
2023/06,88.226
2023/07,88.011
2023/08,88.042
2023/09,88.415
2023/10,88.967
2023/11,89.523
2023/12,89.942
2024/01,90.346
2024/02,90.598
2024/03,91.071
2024/04,91.626
2024/05,92.006
2024/06,92.532
2024/07,93.347
2024/08,94.132
2024/09,94.797
2024/10,95.179
2024/11,95.593
2024/12,95.858
