date,house_completion
2015-01-01,4986
2015-02-01,3924
2015-03-01,3952
2015-04-01,5484
2015-05-01,4204
2015-06-01,3667
2015-07-01,5707
2015-08-01,7014
2015-09-01,6517
2015-10-01,4814
2015-11-01,4778
2015-12-01,5524
2016-01-01,8154
2016-02-01,5625
2016-03-01,4899
2016-04-01,7042
2016-05-01,7344
2016-06-01,6398
2016-07-01,6462
2016-08-01,7496
2016-09-01,5348
2016-10-01,3798
2016-11-01,7920
2016-12-01,14298
2017-01-01,5188
2017-02-01,5796
2017-03-01,5229
2017-04-01,6786
2017-05-01,4880
2017-06-01,5527
2017-07-01,6044
2017-08-01,7523
2017-09-01,4520
2017-10-01,3144
2017-11-01,5097
2017-12-01,4272
2018-01-01,4337
2018-02-01,3906
2018-03-01,4006
2018-04-01,3838
2018-05-01,6164
2018-06-01,6304
2018-07-01,4598
2018-08-01,4588
2018-09-01,4469
2018-10-01,5952
2018-11-01,5578
2018-12-01,16428
2019-01-01,6880
2019-02-01,10022
2019-03-01,2876
2019-04-01,4110
2019-05-01,3932
2019-06-01,6426
2019-07-01,3945
2019-08-01,4564
2019-09-01,11169
2019-10-01,3446
2019-11-01,6257
2019-12-01,6709
2020-01-01,4871
2020-02-01,6719
2020-03-01,2783
2020-04-01,6105
2020-05-01,2543
2020-06-01,5941
2020-07-01,6967
2020-08-01,6097
2020-09-01,8077
2020-10-01,2473
2020-11-01,4632
2020-12-01,5518
2021-01-01,5316
2021-02-01,7568
2021-03-01,5297
2021-04-01,3409
2021-05-01,3054
2021-06-01,4247
2021-07-01,8293
2021-08-01,3656
2021-09-01,3506
2021-10-01,3563
2021-11-01,5526
2021-12-01,8245
2022-01-01,6226
2022-02-01,2281
2022-03-01,4459
2022-04-01,5394
2022-05-01,3034
2022-06-01,2987
2022-07-01,2650
2022-08-01,7643
2022-09-01,2110
2022-10-01,2710
2022-11-01,3669
2022-12-01,4967
2023-01-01,6468
2023-02-01,3789
2023-03-01,2814
2023-04-01,2254
2023-05-01,1498
2023-06-01,7556
2023-07-01,8834
2023-08-01,5001
2023-09-01,1416
2023-10-01,1905
2023-11-01,8369
2023-12-01,1063
2024-01-01,3407
2024-02-01,1930
2024-03-01,1246
2024-04-01,1532
2024-05-01,1025
2024-06-01,1810
2024-07-01,2557
2024-08-01,2392
2024-09-01,1985
2024-10-01,3387
2024-11-01,13719
2024-12-01,3067
2025-01-01,4147
2025-02-01,1969
2025-03-01,2427
2025-04-01,8396
2025-05-01,2505
2025-06-01,8490
2025-07-01,4915
2025-08-01,2996
2025-09-01,761
2025-10-01,1707
