date,base_rate,seoul_apt_price_index,mom_change_pct,csi,mortgage_rate,housing_permit,park_dummy,moon_dummy,yoon_dummy
2015-01-01,2.0,68.62,0.14,103.0,3.34,3629.0,1,0,0
2015-02-01,2.0,68.83,0.31,103.7,3.24,4525.0,1,0,0
2015-03-01,1.75,69.19,0.52,101.8,2.97,7632.0,1,0,0
2015-04-01,1.75,69.71,0.76,104.7,2.81,6488.0,1,0,0
2015-05-01,1.75,70.12,0.6,106.1,3.06,6187.0,1,0,0
2015-06-01,1.5,70.6,0.68,98.6,3.01,6553.0,1,0,0
2015-07-01,1.5,70.98,0.54,100.7,2.96,22603.0,1,0,0
2015-08-01,1.5,71.38,0.56,102.0,2.94,8533.0,1,0,0
2015-09-01,1.5,71.86,0.68,103.3,2.92,11723.0,1,0,0
2015-10-01,1.5,72.35,0.67,105.9,2.9,10770.0,1,0,0
2015-11-01,1.5,72.81,0.65,106.6,3.04,6427.0,1,0,0
2015-12-01,1.5,73.12,0.42,103.2,3.12,13646.0,1,0,0
2016-01-01,1.5,73.15,0.05,100.4,3.1,5484.0,1,0,0
2016-02-01,1.5,73.15,0.0,98.1,2.99,5801.0,1,0,0
2016-03-01,1.5,73.15,-0.01,100.4,2.97,4328.0,1,0,0
2016-04-01,1.5,73.22,0.1,102.1,2.93,10893.0,1,0,0
2016-05-01,1.5,73.37,0.21,99.6,2.89,5583.0,1,0,0
2016-06-01,1.25,73.62,0.34,99.1,2.77,4977.0,1,0,0
2016-07-01,1.25,73.88,0.35,101.4,2.66,9807.0,1,0,0
2016-08-01,1.25,74.17,0.39,102.4,2.7,6242.0,1,0,0
2016-09-01,1.25,74.46,0.39,102.3,2.8,3265.0,1,0,0
2016-10-01,1.25,74.97,0.69,102.6,2.89,4572.0,1,0,0
2016-11-01,1.25,75.39,0.56,95.7,3.04,5104.0,1,0,0
2016-12-01,1.25,75.49,0.13,93.9,3.13,9643.0,1,0,0
2017-01-01,1.25,75.51,0.03,93.0,3.16,5321.0,1,0,0
2017-02-01,1.25,75.56,0.07,94.2,3.19,9182.0,1,0,0
2017-03-01,1.25,75.69,0.17,96.8,3.21,7700.0,1,0,0
2017-04-01,1.25,75.9,0.28,101.6,3.21,6871.0,0,1,0
2017-05-01,1.25,76.24,0.45,109.0,3.26,4992.0,0,1,0
2017-06-01,1.25,77.0,0.99,112.4,3.22,5890.0,0,1,0
2017-07-01,1.25,77.38,0.5,112.6,3.28,8600.0,0,1,0
2017-08-01,1.25,77.85,0.61,111.2,3.28,7156.0,0,1,0
2017-09-01,1.25,77.85,-0.01,108.8,3.24,15679.0,0,1,0
2017-10-01,1.25,78.05,0.26,110.4,3.33,16229.0,0,1,0
2017-11-01,1.5,78.38,0.43,113.7,3.39,7719.0,0,1,0
2017-12-01,1.5,79.03,0.84,112.2,3.42,16679.0,0,1,0
2018-01-01,1.5,80.1,1.34,111.4,3.47,5397.0,0,1,0
2018-02-01,1.5,81.2,1.39,109.6,3.46,3381.0,0,1,0
2018-03-01,1.5,81.83,0.77,109.5,3.45,2952.0,0,1,0
2018-04-01,1.5,82.13,0.37,108.5,3.47,5226.0,0,1,0
2018-05-01,1.5,82.32,0.22,109.4,3.49,5273.0,0,1,0
2018-06-01,1.5,82.49,0.21,106.8,3.46,3368.0,0,1,0
2018-07-01,1.5,82.77,0.34,101.9,3.44,5894.0,0,1,0
2018-08-01,1.5,83.45,0.82,99.9,3.36,4255.0,0,1,0
2018-09-01,1.5,84.99,1.84,100.9,3.29,3617.0,0,1,0
2018-10-01,1.5,85.48,0.58,100.1,3.31,5334.0,0,1,0
2018-11-01,1.75,85.53,0.05,96.4,3.28,7608.0,0,1,0
2018-12-01,1.75,85.38,-0.17,97.6,3.19,11389.0,0,1,0
2019-01-01,1.75,85.03,-0.41,98.3,3.12,8179.0,0,1,0
2019-02-01,1.75,84.72,-0.37,100.4,3.08,5226.0,0,1,0
2019-03-01,1.75,84.39,-0.4,100.7,3.04,14311.0,0,1,0
2019-04-01,1.75,84.1,-0.34,102.6,2.98,3055.0,0,1,0
2019-05-01,1.75,83.93,-0.2,98.7,2.93,3204.0,0,1,0
2019-06-01,1.75,83.85,-0.09,98.4,2.74,2378.0,0,1,0
2019-07-01,1.5,83.91,0.07,96.7,2.64,3188.0,0,1,0
2019-08-01,1.5,84.03,0.14,93.1,2.47,4586.0,0,1,0
2019-09-01,1.5,84.19,0.18,97.8,2.51,2803.0,0,1,0
2019-10-01,1.25,84.69,0.6,99.5,2.5,2937.0,0,1,0
2019-11-01,1.25,85.28,0.69,101.9,2.45,4967.0,0,1,0
2019-12-01,1.25,86.33,1.24,101.4,2.45,7788.0,0,1,0
2020-01-01,1.25,86.72,0.45,105.2,2.51,3326.0,0,1,0
2020-02-01,1.25,86.82,0.12,97.7,2.52,3196.0,0,1,0
2020-03-01,0.75,86.91,0.1,79.0,2.48,4500.0,0,1,0
2020-04-01,0.75,86.82,-0.1,71.2,2.58,4324.0,0,1,0
2020-05-01,0.5,86.65,-0.2,78.1,2.52,3922.0,0,1,0
2020-06-01,0.5,86.76,0.13,82.4,2.49,3476.0,0,1,0
2020-07-01,0.5,87.74,1.12,84.8,2.45,4295.0,0,1,0
2020-08-01,0.5,88.22,0.55,88.8,2.39,5363.0,0,1,0
2020-09-01,0.5,88.48,0.29,80.0,2.44,5031.0,0,1,0
2020-10-01,0.5,88.58,0.11,92.3,2.47,7244.0,0,1,0
2020-11-01,0.5,88.68,0.12,98.8,2.56,4606.0,0,1,0
2020-12-01,0.5,88.93,0.28,90.5,2.59,9904.0,0,1,0
2021-01-01,0.5,89.28,0.4,95.0,2.63,3072.0,0,1,0
2021-02-01,0.5,89.88,0.67,97.2,2.66,7218.0,0,1,0
2021-03-01,0.5,90.32,0.49,100.4,2.73,3959.0,0,1,0
2021-04-01,0.5,90.71,0.43,102.3,2.73,9299.0,0,1,0
2021-05-01,0.5,91.14,0.48,105.5,2.69,7409.0,0,1,0
2021-06-01,0.5,92.04,0.98,110.9,2.74,6980.0,0,1,0
2021-07-01,0.5,92.78,0.81,103.4,2.81,6229.0,0,1,0
2021-08-01,0.75,93.64,0.92,102.7,2.88,5401.0,0,1,0
2021-09-01,0.75,94.48,0.9,104.1,3.01,11889.0,0,1,0
2021-10-01,0.75,95.26,0.83,107.3,3.26,7473.0,0,1,0
2021-11-01,1.0,95.83,0.6,108.2,3.51,7220.0,0,1,0
2021-12-01,1.0,96.06,0.25,104.2,3.63,5488.0,0,1,0
2022-01-01,1.25,96.07,0.0,104.9,3.85,3581.0,0,1,0
2022-02-01,1.25,95.99,-0.08,103.4,3.88,5589.0,0,1,0
2022-03-01,1.25,95.92,-0.07,103.6,3.84,2809.0,0,1,0
2022-04-01,1.5,95.91,-0.01,104.3,3.9,4067.0,0,0,1
2022-05-01,1.75,95.9,-0.01,103.1,3.9,2456.0,0,0,1
2022-06-01,1.75,95.83,-0.08,96.6,4.04,5652.0,0,0,1
2022-07-01,2.25,95.61,-0.22,85.7,4.16,3106.0,0,0,1
2022-08-01,2.5,95.18,-0.45,88.5,4.35,3708.0,0,0,1
2022-09-01,2.5,94.46,-0.75,91.3,4.79,2652.0,0,0,1
2022-10-01,3.0,93.29,-1.24,88.6,4.82,1918.0,0,0,1
2022-11-01,3.25,91.37,-2.06,86.2,4.74,2508.0,0,0,1
2022-12-01,3.25,88.66,-2.96,89.7,4.63,4185.0,0,0,1
2023-01-01,3.5,87.09,-1.78,90.4,4.58,1848.0,0,0,1
2023-02-01,3.5,86.14,-1.08,89.8,4.56,6646.0,0,0,1
2023-03-01,3.5,85.53,-0.72,91.7,4.4,4292.0,0,0,1
2023-04-01,3.5,85.19,-0.39,94.9,4.24,2440.0,0,0,1
2023-05-01,3.5,85.2,0.01,97.9,4.21,974.0,0,0,1
2023-06-01,3.5,85.35,0.17,100.7,4.26,1295.0,0,0,1
2023-07-01,3.5,85.57,0.27,103.4,4.28,2595.0,0,0,1
2023-08-01,3.5,85.99,0.48,103.2,4.31,3421.0,0,0,1
2023-09-01,3.5,86.41,0.5,99.7,4.35,373.0,0,0,1
2023-10-01,3.5,86.73,0.36,98.0,4.56,3847.0,0,0,1
2023-11-01,3.5,86.84,0.13,97.1,4.48,6869.0,0,0,1
