date,base_rate,seoul_apt_price_index,mom_change_pct,csi,mortgage_rate,housing_permit,park_dummy,moon_dummy,yoon_dummy,jeonse_index,mortgage_balance,jeonse_ratio
2015-01-01,2.0,68.62,0.14,103.0,3.34,3629.0,1,0,0,70.978,453.264,95.43367528409699
2015-02-01,2.0,68.83,0.31,103.7,3.24,4525.0,1,0,0,71.42,457.0041,95.7349867941401
2015-03-01,1.75,69.19,0.52,101.8,2.97,7632.0,1,0,0,72.152,460.98240000000004,96.2129761202378
2015-04-01,1.75,69.71,0.76,104.7,2.81,6488.0,1,0,0,72.942,468.824,96.54086589029374
2015-05-01,1.75,70.12,0.6,106.1,3.06,6187.0,1,0,0,73.462,469.218,96.6605909210504
2015-06-01,1.5,70.6,0.68,98.6,3.01,6553.0,1,0,0,74.12,457.6145,96.86331209426538
2015-07-01,1.5,70.98,0.54,100.7,2.96,22603.0,1,0,0,74.696,458.25,97.09345517501018
2015-08-01,1.5,71.38,0.56,102.0,2.94,8533.0,1,0,0,75.254,464.6771,97.27061256426474
2015-09-01,1.5,71.86,0.68,103.3,2.92,11723.0,1,0,0,75.981,470.243,97.55429565068191
2015-10-01,1.5,72.35,0.67,105.9,2.9,10770.0,1,0,0,76.426,477.56059999999997,97.46107557930353
2015-11-01,1.5,72.81,0.65,106.6,3.04,6427.0,1,0,0,77.073,482.9164,97.66519875317293
2015-12-01,1.5,73.12,0.42,103.2,3.12,13646.0,1,0,0,77.451,490.8261,97.72809926439481
2016-01-01,1.5,73.15,0.05,100.4,3.1,5484.0,1,0,0,77.733,492.9051,98.0437026128329
2016-02-01,1.5,73.15,0.0,98.1,2.99,5801.0,1,0,0,77.993,494.44590000000005,98.37163750122438
2016-03-01,1.5,73.15,-0.01,100.4,2.97,4328.0,1,0,0,78.215,498.2942,98.65164344438946
2016-04-01,1.5,73.22,0.1,102.1,2.93,10893.0,1,0,0,78.395,503.7688,98.78414500789478
2016-05-01,1.5,73.37,0.21,99.6,2.89,5583.0,1,0,0,78.594,509.3651,98.8324312139931
2016-06-01,1.25,73.62,0.34,99.1,2.77,4977.0,1,0,0,78.807,515.2496,98.7637536530447
2016-07-01,1.25,73.88,0.35,101.4,2.66,9807.0,1,0,0,78.996,521.2005,98.65221023868659
2016-08-01,1.25,74.17,0.39,102.4,2.7,6242.0,1,0,0,79.129,527.2875,98.43193070831559
2016-09-01,1.25,74.46,0.39,102.3,2.8,3265.0,1,0,0,79.277,530.809,98.2319534935641
2016-10-01,1.25,74.97,0.69,102.6,2.89,4572.0,1,0,0,79.527,536.1404,97.8713760440311
2016-11-01,1.25,75.39,0.56,95.7,3.04,5104.0,1,0,0,79.744,542.494,97.59169890788874
2016-12-01,1.25,75.49,0.13,93.9,3.13,9643.0,1,0,0,79.848,545.8396,97.58952914955714
2017-01-01,1.25,75.51,0.03,93.0,3.16,5321.0,1,0,0,79.895,545.8806999999999,97.62110881763249
2017-02-01,1.25,75.56,0.07,94.2,3.19,9182.0,1,0,0,79.917,547.746,97.58337371161686
2017-03-01,1.25,75.69,0.17,96.8,3.21,7700.0,1,0,0,79.951,550.6925,97.45721584244735
