date,mortgage_balance
2015/01,453264
2015/02,457004.1
2015/03,460982.4
2015/04,468824
2015/05,469218
2015/06,457614.5
2015/07,458250
2015/08,464677.1
2015/09,470243
2015/10,477560.6
2015/11,482916.4
2015/12,490826.1
2016/01,492905.1
2016/02,494445.9
2016/03,498294.2
2016/04,503768.8
2016/05,509365.1
2016/06,515249.6
2016/07,521200.5
2016/08,527287.5
2016/09,530809
2016/10,536140.4
2016/11,542494
2016/12,545839.6
2017/01,545880.7
2017/02,547746
2017/03,550692.5
2017/04,553204.1
2017/05,556528.9
2017/06,560141.5
2017/07,563446.4
2017/08,566589.7
2017/09,570079.2
2017/10,572997.6
2017/11,575798.6
2017/12,578312.9
2018/01,579043.8
2018/02,580343.8
2018/03,582425.3
2018/04,583927.5
2018/05,585568.5
2018/06,587738
2018/07,589513.1
2018/08,592252.2
2018/09,594937.4
2018/10,597212.9
2018/11,601257.3
2018/12,604649.7
2019/01,605419.6
2019/02,606576.5
2019/03,608213.2
2019/04,610586.6
2019/05,612562.8
2019/06,615111.6
2019/07,618493.9
2019/08,622539.1
2019/09,625799.4
2019/10,630051.4
2019/11,633516.6
2019/12,634188.1
2020/01,634741.5
2020/02,635840.3
2020/03,640263.3
2020/04,645106.4
2020/05,647294.6
2020/06,649313.4
2020/07,651190.3
2020/08,656254.2
2020/09,662160.8
2020/10,668361.3
2020/11,674400.5
2020/12,680375.9
2021/01,684708.7
2021/02,691756.9
2021/03,697022.5
2021/04,698630.1
2021/05,700420.4
2021/06,703426.2
2021/07,709946.7
2021/08,716326.9
2021/09,722742.2
2021/10,728201.2
2021/11,732455.5
2021/12,735334.6
2022/01,737494.1
2022/02,738614
2022/03,739697.1
2022/04,742131.8
2022/05,742300.8
2022/06,744837.9
2022/07,746172.4
2022/08,748182.6
2022/09,750225.6
2022/10,752461.1
2022/11,753739.7
2022/12,756324.3
2023/01,755844.4
2023/02,754817.1
2023/03,751736.1
2023/04,749500.5
2023/05,751482.8
2023/06,755624.7
2023/07,759125.9
2023/08,762739.1
2023/09,766679.9
2023/10,770534.4
2023/11,775585.7
2023/12,779612
2024/01,784794.3
2024/02,788624.2
2024/03,787987.6
2024/04,792429.9
2024/05,798380.1
2024/06,804343.1
2024/07,810784.8
2024/08,820126.3
2024/09,827323.4
2024/10,831805.1
2024/11,836970.5
2024/12,841799.8
