date,seoul_apt_price_index,mom_change_pct
2015-01,68.62,0.14
2015-02,68.83,0.31
2015-03,69.19,0.52
2015-04,69.71,0.76
2015-05,70.12,0.60
2015-06,70.60,0.68
2015-07,70.98,0.54
2015-08,71.38,0.56
2015-09,71.86,0.68
2015-10,72.35,0.67
2015-11,72.81,0.65
2015-12,73.12,0.42
2016-01,73.15,0.05
2016-02,73.15,0.00
2016-03,73.15,-0.01
2016-04,73.22,0.10
2016-05,73.37,0.21
2016-06,73.62,0.34
2016-07,73.88,0.35
2016-08,74.17,0.39
2016-09,74.46,0.39
2016-10,74.97,0.69
2016-11,75.39,0.56
2016-12,75.49,0.13
2017-01,75.51,0.03
2017-02,75.56,0.07
2017-03,75.69,0.17
2017-04,75.90,0.28
2017-05,76.24,0.45
2017-06,77.00,0.99
2017-07,77.38,0.50
2017-08,77.85,0.61
2017-09,77.85,-0.01
2017-10,78.05,0.26
2017-11,78.38,0.43
2017-12,79.03,0.84
2018-01,80.10,1.34
2018-02,81.20,1.39
2018-03,81.83,0.77
2018-04,82.13,0.37
2018-05,82.32,0.22
2018-06,82.49,0.21
2018-07,82.77,0.34
2018-08,83.45,0.82
2018-09,84.99,1.84
2018-10,85.48,0.58
2018-11,85.53,0.05
2018-12,85.38,-0.17
2019-01,85.03,-0.41
2019-02,84.72,-0.37
2019-03,84.39,-0.40
2019-04,84.10,-0.34
2019-05,83.93,-0.20
2019-06,83.85,-0.09
2019-07,83.91,0.07
2019-08,84.03,0.14
2019-09,84.19,0.18
2019-10,84.69,0.60
2019-11,85.28,0.69
2019-12,86.33,1.24
2020-01,86.72,0.45
2020-02,86.82,0.12
2020-03,86.91,0.10
2020-04,86.82,-0.10
2020-05,86.65,-0.20
2020-06,86.76,0.13
2020-07,87.74,1.12
2020-08,88.22,0.55
2020-09,88.48,0.29
2020-10,88.58,0.11
2020-11,88.68,0.12
2020-12,88.93,0.28
2021-01,89.28,0.40
2021-02,89.88,0.67
2021-03,90.32,0.49
2021-04,90.71,0.43
2021-05,91.14,0.48
2021-06,92.04,0.98
2021-07,92.78,0.81
2021-08,93.64,0.92
2021-09,94.48,0.90
2021-10,95.26,0.83
2021-11,95.83,0.60
2021-12,96.06,0.25
2022-01,96.07,0.00
2022-02,95.99,-0.08
2022-03,95.92,-0.07
2022-04,95.91,-0.01
2022-05,95.90,-0.01
2022-06,95.83,-0.08
2022-07,95.61,-0.22
2022-08,95.18,-0.45
2022-09,94.46,-0.75
2022-10,93.29,-1.24
2022-11,91.37,-2.06
2022-12,88.66,-2.96
2023-01,87.09,-1.78
2023-02,86.14,-1.08
2023-03,85.53,-0.72
2023-04,85.19,-0.39
2023-05,85.20,0.01
2023-06,85.35,0.17
2023-07,85.57,0.27
2023-08,85.99,0.48
2023-09,86.41,0.50
2023-10,86.73,0.36
2023-11,86.84,0.13
2023-12,86.73,-0.13
2024-01,86.58,-0.17
2024-02,86.46,-0.14
2024-03,86.45,-0.02
2024-04,86.56,0.13
2024-05,86.73,0.20
2024-06,87.21,0.56
2024-07,88.25,1.19
2024-08,89.38,1.27
2024-09,90.09,0.79
2024-10,90.48,0.43
2024-11,90.71,0.26
2024-12,90.79,0.09
2025-01,90.80,0.01
2025-02,91.02,0.24
2025-03,91.75,0.80
2025-04,92.05,0.33
2025-05,92.56,0.54
2025-06,93.89,1.44
2025-07,94.91,1.09
2025-08,95.37,0.48
2025-09,95.93,0.58
2025-10,97.30,1.43
