월(Monthly),구  분,부문명,시도별,사용검사실적
2023-01,총계,총계,전국,27,271
2023-01,총계,총계,서울,3,319
2023-01,총계,총계,인천,2,506
2023-01,총계,총계,경기,8,038
2023-01,총계,총계,부산,3,320
2023-01,총계,총계,대구,883
2023-01,총계,총계,광주,136
2023-01,총계,총계,대전,162
2023-01,총계,총계,울산,27
2023-01,총계,총계,세종,22
2023-01,총계,총계,강원,350
2023-01,총계,총계,충북,319
2023-01,총계,총계,충남,1,757
2023-01,총계,총계,전북,1,192
2023-01,총계,총계,전남,2,452
2023-01,총계,총계,경북,585
2023-01,총계,총계,경남,1,713
2023-01,총계,총계,제주,490
2023-01,공공부문,소계,전국,256
2023-01,공공부문,소계,서울,85
2023-01,공공부문,소계,인천,40
2023-01,공공부문,소계,경기,0
2023-01,공공부문,소계,부산,0
2023-01,공공부문,소계,대구,0
2023-01,공공부문,소계,광주,0
2023-01,공공부문,소계,대전,0
2023-01,공공부문,소계,울산,0
2023-01,공공부문,소계,세종,0
2023-01,공공부문,소계,강원,0
2023-01,공공부문,소계,충북,31
2023-01,공공부문,소계,충남,0
2023-01,공공부문,소계,전북,0
2023-01,공공부문,소계,전남,100
2023-01,공공부문,소계,경북,0
2023-01,공공부문,소계,경남,0
2023-01,공공부문,소계,제주,0
2023-01,합,국민임대,전국,31
2023-01,합,국민임대,서울,1
2023-01,합,국민임대,인천,0
2023-01,합,국민임대,경기,0
2023-01,합,국민임대,부산,0
2023-01,합,국민임대,대구,0
2023-01,합,국민임대,광주,0
2023-01,합,국민임대,대전,0
2023-01,합,국민임대,울산,0
2023-01,합,국민임대,세종,0
2023-01,합,국민임대,강원,0
2023-01,합,국민임대,충북,30
2023-01,합,국민임대,충남,0
2023-01,합,국민임대,전북,0
2023-01,합,국민임대,전남,0
2023-01,합,국민임대,경북,0
2023-01,합,국민임대,경남,0
2023-01,합,국민임대,제주,0
2023-01,합,공공임대,전국,225
2023-01,합,공공임대,서울,84
2023-01,합,공공임대,인천,40
2023-01,합,공공임대,경기,0
2023-01,합,공공임대,부산,0
2023-01,합,공공임대,대구,0
2023-01,합,공공임대,광주,0
2023-01,합,공공임대,대전,0
2023-01,합,공공임대,울산,0
2023-01,합,공공임대,세종,0
2023-01,합,공공임대,강원,0
2023-01,합,공공임대,충북,1
2023-01,합,공공임대,충남,0
2023-01,합,공공임대,전북,0
2023-01,합,공공임대,전남,100
2023-01,합,공공임대,경북,0
2023-01,합,공공임대,경남,0
2023-01,합,공공임대,제주,0
2023-01,합,공공분양,전국,0
2023-01,합,공공분양,서울,0
2023-01,합,공공분양,인천,0
2023-01,합,공공분양,경기,0
2023-01,합,공공분양,부산,0
2023-01,합,공공분양,대구,0
2023-01,합,공공분양,광주,0
2023-01,합,공공분양,대전,0
2023-01,합,공공분양,울산,0
2023-01,합,공공분양,세종,0
2023-01,합,공공분양,강원,0
2023-01,합,공공분양,충북,0
2023-01,합,공공분양,충남,0
2023-01,합,공공분양,전북,0
2023-01,합,공공분양,전남,0
2023-01,합,공공분양,경북,0
2023-01,합,공공분양,경남,0
2023-01,합,공공분양,제주,0
2023-01,지자체,소계,전국,0
2023-01,지자체,소계,서울,0
2023-01,지자체,소계,인천,0
2023-01,지자체,소계,경기,0
2023-01,지자체,소계,부산,0
2023-01,지자체,소계,대구,0
2023-01,지자체,소계,광주,0
2023-01,지자체,소계,대전,0
2023-01,지자체,소계,울산,0
2023-01,지자체,소계,세종,0
2023-01,지자체,소계,강원,0
2023-01,지자체,소계,충북,0
2023-01,지자체,소계,충남,0
2023-01,지자체,소계,전북,0
2023-01,지자체,소계,전남,0
2023-01,지자체,소계,경북,0
2023-01,지자체,소계,경남,0
2023-01,지자체,소계,제주,0
2023-01,지자체,국민임대,전국,0
2023-01,지자체,국민임대,서울,0
2023-01,지자체,국민임대,인천,0
2023-01,지자체,국민임대,경기,0
2023-01,지자체,국민임대,부산,0
2023-01,지자체,국민임대,대구,0
2023-01,지자체,국민임대,광주,0
2023-01,지자체,국민임대,대전,0
2023-01,지자체,국민임대,울산,0
2023-01,지자체,국민임대,세종,0
2023-01,지자체,국민임대,강원,0
2023-01,지자체,국민임대,충북,0
2023-01,지자체,국민임대,충남,0
2023-01,지자체,국민임대,전북,0
2023-01,지자체,국민임대,전남,0
2023-01,지자체,국민임대,경북,0
2023-01,지자체,국민임대,경남,0
2023-01,지자체,국민임대,제주,0
2023-01,지자체,공공임대,전국,0
2023-01,지자체,공공임대,서울,0
2023-01,지자체,공공임대,인천,0
2023-01,지자체,공공임대,경기,0
2023-01,지자체,공공임대,부산,0
2023-01,지자체,공공임대,대구,0
2023-01,지자체,공공임대,광주,0
2023-01,지자체,공공임대,대전,0
2023-01,지자체,공공임대,울산,0
2023-01,지자체,공공임대,세종,0
2023-01,지자체,공공임대,강원,0
2023-01,지자체,공공임대,충북,0
2023-01,지자체,공공임대,충남,0
2023-01,지자체,공공임대,전북,0
2023-01,지자체,공공임대,전남,0
2023-01,지자체,공공임대,경북,0
2023-01,지자체,공공임대,경남,0
2023-01,지자체,공공임대,제주,0
2023-01,지자체,공공분양,전국,0
2023-01,지자체,공공분양,서울,0
2023-01,지자체,공공분양,인천,0
2023-01,지자체,공공분양,경기,0
2023-01,지자체,공공분양,부산,0
2023-01,지자체,공공분양,대구,0
2023-01,지자체,공공분양,광주,0
2023-01,지자체,공공분양,대전,0
2023-01,지자체,공공분양,울산,0
2023-01,지자체,공공분양,세종,0
2023-01,지자체,공공분양,강원,0
2023-01,지자체,공공분양,충북,0
2023-01,지자체,공공분양,충남,0
2023-01,지자체,공공분양,전북,0
2023-01,지자체,공공분양,전남,0
2023-01,지자체,공공분양,경북,0
2023-01,지자체,공공분양,경남,0
2023-01,지자체,공공분양,제주,0
2023-01,LH,소계,전국,141
2023-01,LH,소계,서울,0
2023-01,LH,소계,인천,40
2023-01,LH,소계,경기,0
2023-01,LH,소계,부산,0
2023-01,LH,소계,대구,0
2023-01,LH,소계,광주,0
2023-01,LH,소계,대전,0
2023-01,LH,소계,울산,0
2023-01,LH,소계,세종,0
2023-01,LH,소계,강원,0
2023-01,LH,소계,충북,1
2023-01,LH,소계,충남,0
2023-01,LH,소계,전북,0
2023-01,LH,소계,전남,100
2023-01,LH,소계,경북,0
2023-01,LH,소계,경남,0
2023-01,LH,소계,제주,0
2023-01,LH,국민임대,전국,0
2023-01,LH,국민임대,서울,0
2023-01,LH,국민임대,인천,0
2023-01,LH,국민임대,경기,0
2023-01,LH,국민임대,부산,0
2023-01,LH,국민임대,대구,0
2023-01,LH,국민임대,광주,0
2023-01,LH,국민임대,대전,0
2023-01,LH,국민임대,울산,0
2023-01,LH,국민임대,세종,0
2023-01,LH,국민임대,강원,0
2023-01,LH,국민임대,충북,0
2023-01,LH,국민임대,충남,0
2023-01,LH,국민임대,전북,0
2023-01,LH,국민임대,전남,0
2023-01,LH,국민임대,경북,0
2023-01,LH,국민임대,경남,0
2023-01,LH,국민임대,제주,0
2023-01,LH,공공임대,전국,141
2023-01,LH,공공임대,서울,0
2023-01,LH,공공임대,인천,40
2023-01,LH,공공임대,경기,0
2023-01,LH,공공임대,부산,0
2023-01,LH,공공임대,대구,0
2023-01,LH,공공임대,광주,0
2023-01,LH,공공임대,대전,0
2023-01,LH,공공임대,울산,0
2023-01,LH,공공임대,세종,0
2023-01,LH,공공임대,강원,0
2023-01,LH,공공임대,충북,1
2023-01,LH,공공임대,충남,0
2023-01,LH,공공임대,전북,0
2023-01,LH,공공임대,전남,100
2023-01,LH,공공임대,경북,0
2023-01,LH,공공임대,경남,0
2023-01,LH,공공임대,제주,0
2023-01,LH,공공분양,전국,0
2023-01,LH,공공분양,서울,0
2023-01,LH,공공분양,인천,0
2023-01,LH,공공분양,경기,0
2023-01,LH,공공분양,부산,0
2023-01,LH,공공분양,대구,0
2023-01,LH,공공분양,광주,0
2023-01,LH,공공분양,대전,0
2023-01,LH,공공분양,울산,0
2023-01,LH,공공분양,세종,0
2023-01,LH,공공분양,강원,0
2023-01,LH,공공분양,충북,0
2023-01,LH,공공분양,충남,0
2023-01,LH,공공분양,전북,0
2023-01,LH,공공분양,전남,0
2023-01,LH,공공분양,경북,0
2023-01,LH,공공분양,경남,0
2023-01,LH,공공분양,제주,0
2023-01,주택업체,소계,전국,115
2023-01,주택업체,소계,서울,85
2023-01,주택업체,소계,인천,0
2023-01,주택업체,소계,경기,0
2023-01,주택업체,소계,부산,0
2023-01,주택업체,소계,대구,0
2023-01,주택업체,소계,광주,0
2023-01,주택업체,소계,대전,0
2023-01,주택업체,소계,울산,0
2023-01,주택업체,소계,세종,0
2023-01,주택업체,소계,강원,0
2023-01,주택업체,소계,충북,30
2023-01,주택업체,소계,충남,0
2023-01,주택업체,소계,전북,0
2023-01,주택업체,소계,전남,0
2023-01,주택업체,소계,경북,0
2023-01,주택업체,소계,경남,0
2023-01,주택업체,소계,제주,0
2023-01,주택업체,국민임대,전국,31
2023-01,주택업체,국민임대,서울,1
2023-01,주택업체,국민임대,인천,0
2023-01,주택업체,국민임대,경기,0
2023-01,주택업체,국민임대,부산,0
2023-01,주택업체,국민임대,대구,0
2023-01,주택업체,국민임대,광주,0
2023-01,주택업체,국민임대,대전,0
2023-01,주택업체,국민임대,울산,0
2023-01,주택업체,국민임대,세종,0
2023-01,주택업체,국민임대,강원,0
2023-01,주택업체,국민임대,충북,30
2023-01,주택업체,국민임대,충남,0
2023-01,주택업체,국민임대,전북,0
2023-01,주택업체,국민임대,전남,0
2023-01,주택업체,국민임대,경북,0
2023-01,주택업체,국민임대,경남,0
2023-01,주택업체,국민임대,제주,0
2023-01,주택업체,공공임대,전국,84
2023-01,주택업체,공공임대,서울,84
2023-01,주택업체,공공임대,인천,0
2023-01,주택업체,공공임대,경기,0
2023-01,주택업체,공공임대,부산,0
2023-01,주택업체,공공임대,대구,0
2023-01,주택업체,공공임대,광주,0
2023-01,주택업체,공공임대,대전,0
2023-01,주택업체,공공임대,울산,0
2023-01,주택업체,공공임대,세종,0
2023-01,주택업체,공공임대,강원,0
2023-01,주택업체,공공임대,충북,0
2023-01,주택업체,공공임대,충남,0
2023-01,주택업체,공공임대,전북,0
2023-01,주택업체,공공임대,전남,0
2023-01,주택업체,공공임대,경북,0
2023-01,주택업체,공공임대,경남,0
2023-01,주택업체,공공임대,제주,0
2023-01,주택업체,공공분양,전국,0
2023-01,주택업체,공공분양,서울,0
2023-01,주택업체,공공분양,인천,0
2023-01,주택업체,공공분양,경기,0
2023-01,주택업체,공공분양,부산,0
2023-01,주택업체,공공분양,대구,0
2023-01,주택업체,공공분양,광주,0
2023-01,주택업체,공공분양,대전,0
2023-01,주택업체,공공분양,울산,0
2023-01,주택업체,공공분양,세종,0
2023-01,주택업체,공공분양,강원,0
2023-01,주택업체,공공분양,충북,0
2023-01,주택업체,공공분양,충남,0
2023-01,주택업체,공공분양,전북,0
2023-01,주택업체,공공분양,전남,0
2023-01,주택업체,공공분양,경북,0
2023-01,주택업체,공공분양,경남,0
2023-01,주택업체,공공분양,제주,0
2023-01,민간부문,소계,전국,27,015
2023-01,민간부문,소계,서울,3,234
2023-01,민간부문,소계,인천,2,466
2023-01,민간부문,소계,경기,8,038
2023-01,민간부문,소계,부산,3,320
2023-01,민간부문,소계,대구,883
2023-01,민간부문,소계,광주,136
2023-01,민간부문,소계,대전,162
2023-01,민간부문,소계,울산,27
2023-01,민간부문,소계,세종,22
2023-01,민간부문,소계,강원,350
2023-01,민간부문,소계,충북,288
2023-01,민간부문,소계,충남,1,757
2023-01,민간부문,소계,전북,1,192
2023-01,민간부문,소계,전남,2,352
2023-01,민간부문,소계,경북,585
2023-01,민간부문,소계,경남,1,713
2023-01,민간부문,소계,제주,490
2023-01,민간,민간임대,전국,1,837
2023-01,민간,민간임대,서울,631
2023-01,민간,민간임대,인천,0
2023-01,민간,민간임대,경기,522
2023-01,민간,민간임대,부산,0
2023-01,민간,민간임대,대구,0
2023-01,민간,민간임대,광주,0
2023-01,민간,민간임대,대전,0
2023-01,민간,민간임대,울산,0
2023-01,민간,민간임대,세종,0
2023-01,민간,민간임대,강원,0
2023-01,민간,민간임대,충북,0
2023-01,민간,민간임대,충남,0
2023-01,민간,민간임대,전북,390
2023-01,민간,민간임대,전남,294
2023-01,민간,민간임대,경북,0
2023-01,민간,민간임대,경남,0
2023-01,민간,민간임대,제주,0
2023-01,민간,민간분양,전국,25,178
2023-01,민간,민간분양,서울,2,603
2023-01,민간,민간분양,인천,2,466
2023-01,민간,민간분양,경기,7,516
2023-01,민간,민간분양,부산,3,320
2023-01,민간,민간분양,대구,883
2023-01,민간,민간분양,광주,136
2023-01,민간,민간분양,대전,162
2023-01,민간,민간분양,울산,27
2023-01,민간,민간분양,세종,22
2023-01,민간,민간분양,강원,350
2023-01,민간,민간분양,충북,288
2023-01,민간,민간분양,충남,1,757
2023-01,민간,민간분양,전북,802
2023-01,민간,민간분양,전남,2,058
2023-01,민간,민간분양,경북,585
2023-01,민간,민간분양,경남,1,713
2023-01,민간,민간분양,제주,490
2023-02,총계,총계,전국,35,158
2023-02,총계,총계,서울,3,885
2023-02,총계,총계,인천,4,927
2023-02,총계,총계,경기,13,728
2023-02,총계,총계,부산,202
2023-02,총계,총계,대구,1,460
2023-02,총계,총계,광주,878
2023-02,총계,총계,대전,526
2023-02,총계,총계,울산,40
2023-02,총계,총계,세종,48
2023-02,총계,총계,강원,2,445
2023-02,총계,총계,충북,1,110
2023-02,총계,총계,충남,1,865
2023-02,총계,총계,전북,1,557
2023-02,총계,총계,전남,901
2023-02,총계,총계,경북,841
2023-02,총계,총계,경남,483
2023-02,총계,총계,제주,262
2023-02,공공부문,소계,전국,1,561
2023-02,공공부문,소계,서울,96
2023-02,공공부문,소계,인천,1,109
2023-02,공공부문,소계,경기,236
2023-02,공공부문,소계,부산,0
2023-02,공공부문,소계,대구,0
2023-02,공공부문,소계,광주,0
2023-02,공공부문,소계,대전,0
2023-02,공공부문,소계,울산,0
2023-02,공공부문,소계,세종,0
2023-02,공공부문,소계,강원,0
2023-02,공공부문,소계,충북,0
2023-02,공공부문,소계,충남,0
2023-02,공공부문,소계,전북,120
2023-02,공공부문,소계,전남,0
2023-02,공공부문,소계,경북,0
2023-02,공공부문,소계,경남,0
2023-02,공공부문,소계,제주,0
2023-02,합,국민임대,전국,0
2023-02,합,국민임대,서울,0
2023-02,합,국민임대,인천,0
2023-02,합,국민임대,경기,0
2023-02,합,국민임대,부산,0
2023-02,합,국민임대,대구,0
2023-02,합,국민임대,광주,0
2023-02,합,국민임대,대전,0
2023-02,합,국민임대,울산,0
2023-02,합,국민임대,세종,0
2023-02,합,국민임대,강원,0
2023-02,합,국민임대,충북,0
2023-02,합,국민임대,충남,0
2023-02,합,국민임대,전북,0
2023-02,합,국민임대,전남,0
2023-02,합,국민임대,경북,0
2023-02,합,국민임대,경남,0
2023-02,합,국민임대,제주,0
2023-02,합,공공임대,전국,1,561
2023-02,합,공공임대,서울,96
2023-02,합,공공임대,인천,1,109
2023-02,합,공공임대,경기,236
2023-02,합,공공임대,부산,0
2023-02,합,공공임대,대구,0
2023-02,합,공공임대,광주,0
2023-02,합,공공임대,대전,0
2023-02,합,공공임대,울산,0
2023-02,합,공공임대,세종,0
2023-02,합,공공임대,강원,0
2023-02,합,공공임대,충북,0
2023-02,합,공공임대,충남,0
2023-02,합,공공임대,전북,120
2023-02,합,공공임대,전남,0
2023-02,합,공공임대,경북,0
2023-02,합,공공임대,경남,0
2023-02,합,공공임대,제주,0
2023-02,합,공공분양,전국,0
2023-02,합,공공분양,서울,0
2023-02,합,공공분양,인천,0
2023-02,합,공공분양,경기,0
2023-02,합,공공분양,부산,0
2023-02,합,공공분양,대구,0
2023-02,합,공공분양,광주,0
2023-02,합,공공분양,대전,0
2023-02,합,공공분양,울산,0
2023-02,합,공공분양,세종,0
2023-02,합,공공분양,강원,0
2023-02,합,공공분양,충북,0
2023-02,합,공공분양,충남,0
2023-02,합,공공분양,전북,0
2023-02,합,공공분양,전남,0
2023-02,합,공공분양,경북,0
2023-02,합,공공분양,경남,0
2023-02,합,공공분양,제주,0
2023-02,지자체,소계,전국,0
2023-02,지자체,소계,서울,0
2023-02,지자체,소계,인천,0
2023-02,지자체,소계,경기,0
2023-02,지자체,소계,부산,0
2023-02,지자체,소계,대구,0
2023-02,지자체,소계,광주,0
2023-02,지자체,소계,대전,0
2023-02,지자체,소계,울산,0
2023-02,지자체,소계,세종,0
2023-02,지자체,소계,강원,0
2023-02,지자체,소계,충북,0
2023-02,지자체,소계,충남,0
2023-02,지자체,소계,전북,0
2023-02,지자체,소계,전남,0
2023-02,지자체,소계,경북,0
2023-02,지자체,소계,경남,0
2023-02,지자체,소계,제주,0
2023-02,지자체,국민임대,전국,0
2023-02,지자체,국민임대,서울,0
2023-02,지자체,국민임대,인천,0
2023-02,지자체,국민임대,경기,0
2023-02,지자체,국민임대,부산,0
2023-02,지자체,국민임대,대구,0
2023-02,지자체,국민임대,광주,0
2023-02,지자체,국민임대,대전,0
2023-02,지자체,국민임대,울산,0
2023-02,지자체,국민임대,세종,0
2023-02,지자체,국민임대,강원,0
2023-02,지자체,국민임대,충북,0
2023-02,지자체,국민임대,충남,0
2023-02,지자체,국민임대,전북,0
2023-02,지자체,국민임대,전남,0
2023-02,지자체,국민임대,경북,0
2023-02,지자체,국민임대,경남,0
2023-02,지자체,국민임대,제주,0
2023-02,지자체,공공임대,전국,0
2023-02,지자체,공공임대,서울,0
2023-02,지자체,공공임대,인천,0
2023-02,지자체,공공임대,경기,0
2023-02,지자체,공공임대,부산,0
2023-02,지자체,공공임대,대구,0
2023-02,지자체,공공임대,광주,0
2023-02,지자체,공공임대,대전,0
2023-02,지자체,공공임대,울산,0
2023-02,지자체,공공임대,세종,0
2023-02,지자체,공공임대,강원,0
2023-02,지자체,공공임대,충북,0
2023-02,지자체,공공임대,충남,0
2023-02,지자체,공공임대,전북,0
2023-02,지자체,공공임대,전남,0
2023-02,지자체,공공임대,경북,0
2023-02,지자체,공공임대,경남,0
2023-02,지자체,공공임대,제주,0
2023-02,지자체,공공분양,전국,0
2023-02,지자체,공공분양,서울,0
2023-02,지자체,공공분양,인천,0
2023-02,지자체,공공분양,경기,0
2023-02,지자체,공공분양,부산,0
2023-02,지자체,공공분양,대구,0
2023-02,지자체,공공분양,광주,0
2023-02,지자체,공공분양,대전,0
2023-02,지자체,공공분양,울산,0
2023-02,지자체,공공분양,세종,0
2023-02,지자체,공공분양,강원,0
2023-02,지자체,공공분양,충북,0
2023-02,지자체,공공분양,충남,0
2023-02,지자체,공공분양,전북,0
2023-02,지자체,공공분양,전남,0
2023-02,지자체,공공분양,경북,0
2023-02,지자체,공공분양,경남,0
2023-02,지자체,공공분양,제주,0
2023-02,LH,소계,전국,120
2023-02,LH,소계,서울,0
2023-02,LH,소계,인천,0
2023-02,LH,소계,경기,0
2023-02,LH,소계,부산,0
2023-02,LH,소계,대구,0
2023-02,LH,소계,광주,0
2023-02,LH,소계,대전,0
2023-02,LH,소계,울산,0
2023-02,LH,소계,세종,0
2023-02,LH,소계,강원,0
2023-02,LH,소계,충북,0
2023-02,LH,소계,충남,0
2023-02,LH,소계,전북,120
2023-02,LH,소계,전남,0
2023-02,LH,소계,경북,0
2023-02,LH,소계,경남,0
2023-02,LH,소계,제주,0
2023-02,LH,국민임대,전국,0
2023-02,LH,국민임대,서울,0
2023-02,LH,국민임대,인천,0
2023-02,LH,국민임대,경기,0
2023-02,LH,국민임대,부산,0
2023-02,LH,국민임대,대구,0
2023-02,LH,국민임대,광주,0
2023-02,LH,국민임대,대전,0
2023-02,LH,국민임대,울산,0
2023-02,LH,국민임대,세종,0
2023-02,LH,국민임대,강원,0
2023-02,LH,국민임대,충북,0
2023-02,LH,국민임대,충남,0
2023-02,LH,국민임대,전북,0
2023-02,LH,국민임대,전남,0
2023-02,LH,국민임대,경북,0
2023-02,LH,국민임대,경남,0
2023-02,LH,국민임대,제주,0
2023-02,LH,공공임대,전국,120
2023-02,LH,공공임대,서울,0
2023-02,LH,공공임대,인천,0
2023-02,LH,공공임대,경기,0
2023-02,LH,공공임대,부산,0
2023-02,LH,공공임대,대구,0
