월(Monthly),구  분,부문명,시도별,사용검사실적
2019-01,총계,총계,전국,47,921
2019-01,총계,총계,서울,3,893
2019-01,총계,총계,인천,1,299
2019-01,총계,총계,경기,17,297
2019-01,총계,총계,부산,1,707
2019-01,총계,총계,대구,264
2019-01,총계,총계,광주,1,797
2019-01,총계,총계,대전,156
2019-01,총계,총계,울산,2,558
2019-01,총계,총계,세종,442
2019-01,총계,총계,강원,2,138
2019-01,총계,총계,충북,984
2019-01,총계,총계,충남,1,722
2019-01,총계,총계,전북,3,620
2019-01,총계,총계,전남,1,333
2019-01,총계,총계,경북,5,071
2019-01,총계,총계,경남,2,438
2019-01,총계,총계,제주,1,202
2019-01,공공부문,소계,전국,5,698
2019-01,공공부문,소계,서울,453
2019-01,공공부문,소계,인천,0
2019-01,공공부문,소계,경기,607
2019-01,공공부문,소계,부산,0
2019-01,공공부문,소계,대구,0
2019-01,공공부문,소계,광주,0
2019-01,공공부문,소계,대전,0
2019-01,공공부문,소계,울산,1,715
2019-01,공공부문,소계,세종,60
2019-01,공공부문,소계,강원,0
2019-01,공공부문,소계,충북,602
2019-01,공공부문,소계,충남,770
2019-01,공공부문,소계,전북,625
2019-01,공공부문,소계,전남,0
2019-01,공공부문,소계,경북,866
2019-01,공공부문,소계,경남,0
2019-01,공공부문,소계,제주,0
2019-01,합,국민임대,전국,0
2019-01,합,국민임대,서울,0
2019-01,합,국민임대,인천,0
2019-01,합,국민임대,경기,0
2019-01,합,국민임대,부산,0
2019-01,합,국민임대,대구,0
2019-01,합,국민임대,광주,0
2019-01,합,국민임대,대전,0
2019-01,합,국민임대,울산,0
2019-01,합,국민임대,세종,0
2019-01,합,국민임대,강원,0
2019-01,합,국민임대,충북,0
2019-01,합,국민임대,충남,0
2019-01,합,국민임대,전북,0
2019-01,합,국민임대,전남,0
2019-01,합,국민임대,경북,0
2019-01,합,국민임대,경남,0
2019-01,합,국민임대,제주,0
2019-01,합,공공임대,전국,4,362
2019-01,합,공공임대,서울,453
2019-01,합,공공임대,인천,0
2019-01,합,공공임대,경기,41
2019-01,합,공공임대,부산,0
2019-01,합,공공임대,대구,0
2019-01,합,공공임대,광주,0
2019-01,합,공공임대,대전,0
2019-01,합,공공임대,울산,1,715
2019-01,합,공공임대,세종,60
2019-01,합,공공임대,강원,0
2019-01,합,공공임대,충북,602
2019-01,합,공공임대,충남,0
2019-01,합,공공임대,전북,625
2019-01,합,공공임대,전남,0
2019-01,합,공공임대,경북,866
2019-01,합,공공임대,경남,0
2019-01,합,공공임대,제주,0
2019-01,합,공공분양,전국,1,336
2019-01,합,공공분양,서울,0
2019-01,합,공공분양,인천,0
2019-01,합,공공분양,경기,566
2019-01,합,공공분양,부산,0
2019-01,합,공공분양,대구,0
2019-01,합,공공분양,광주,0
2019-01,합,공공분양,대전,0
2019-01,합,공공분양,울산,0
2019-01,합,공공분양,세종,0
2019-01,합,공공분양,강원,0
2019-01,합,공공분양,충북,0
2019-01,합,공공분양,충남,770
2019-01,합,공공분양,전북,0
2019-01,합,공공분양,전남,0
2019-01,합,공공분양,경북,0
2019-01,합,공공분양,경남,0
2019-01,합,공공분양,제주,0
2019-01,지자체,소계,전국,0
2019-01,지자체,소계,서울,0
2019-01,지자체,소계,인천,0
2019-01,지자체,소계,경기,0
2019-01,지자체,소계,부산,0
2019-01,지자체,소계,대구,0
2019-01,지자체,소계,광주,0
2019-01,지자체,소계,대전,0
2019-01,지자체,소계,울산,0
2019-01,지자체,소계,세종,0
2019-01,지자체,소계,강원,0
2019-01,지자체,소계,충북,0
2019-01,지자체,소계,충남,0
2019-01,지자체,소계,전북,0
2019-01,지자체,소계,전남,0
2019-01,지자체,소계,경북,0
2019-01,지자체,소계,경남,0
2019-01,지자체,소계,제주,0
2019-01,지자체,국민임대,전국,0
2019-01,지자체,국민임대,서울,0
2019-01,지자체,국민임대,인천,0
2019-01,지자체,국민임대,경기,0
2019-01,지자체,국민임대,부산,0
2019-01,지자체,국민임대,대구,0
2019-01,지자체,국민임대,광주,0
2019-01,지자체,국민임대,대전,0
2019-01,지자체,국민임대,울산,0
2019-01,지자체,국민임대,세종,0
2019-01,지자체,국민임대,강원,0
2019-01,지자체,국민임대,충북,0
2019-01,지자체,국민임대,충남,0
2019-01,지자체,국민임대,전북,0
2019-01,지자체,국민임대,전남,0
2019-01,지자체,국민임대,경북,0
2019-01,지자체,국민임대,경남,0
2019-01,지자체,국민임대,제주,0
2019-01,지자체,공공임대,전국,0
2019-01,지자체,공공임대,서울,0
2019-01,지자체,공공임대,인천,0
2019-01,지자체,공공임대,경기,0
2019-01,지자체,공공임대,부산,0
2019-01,지자체,공공임대,대구,0
2019-01,지자체,공공임대,광주,0
2019-01,지자체,공공임대,대전,0
2019-01,지자체,공공임대,울산,0
2019-01,지자체,공공임대,세종,0
2019-01,지자체,공공임대,강원,0
2019-01,지자체,공공임대,충북,0
2019-01,지자체,공공임대,충남,0
2019-01,지자체,공공임대,전북,0
2019-01,지자체,공공임대,전남,0
2019-01,지자체,공공임대,경북,0
2019-01,지자체,공공임대,경남,0
2019-01,지자체,공공임대,제주,0
2019-01,지자체,공공분양,전국,0
2019-01,지자체,공공분양,서울,0
2019-01,지자체,공공분양,인천,0
2019-01,지자체,공공분양,경기,0
2019-01,지자체,공공분양,부산,0
2019-01,지자체,공공분양,대구,0
2019-01,지자체,공공분양,광주,0
2019-01,지자체,공공분양,대전,0
2019-01,지자체,공공분양,울산,0
2019-01,지자체,공공분양,세종,0
2019-01,지자체,공공분양,강원,0
2019-01,지자체,공공분양,충북,0
2019-01,지자체,공공분양,충남,0
2019-01,지자체,공공분양,전북,0
2019-01,지자체,공공분양,전남,0
2019-01,지자체,공공분양,경북,0
2019-01,지자체,공공분양,경남,0
2019-01,지자체,공공분양,제주,0
2019-01,LH,소계,전국,1,339
2019-01,LH,소계,서울,0
2019-01,LH,소계,인천,0
2019-01,LH,소계,경기,567
2019-01,LH,소계,부산,0
2019-01,LH,소계,대구,0
2019-01,LH,소계,광주,0
2019-01,LH,소계,대전,0
2019-01,LH,소계,울산,0
2019-01,LH,소계,세종,0
2019-01,LH,소계,강원,0
2019-01,LH,소계,충북,2
2019-01,LH,소계,충남,770
2019-01,LH,소계,전북,0
2019-01,LH,소계,전남,0
2019-01,LH,소계,경북,0
2019-01,LH,소계,경남,0
2019-01,LH,소계,제주,0
2019-01,LH,국민임대,전국,0
2019-01,LH,국민임대,서울,0
2019-01,LH,국민임대,인천,0
2019-01,LH,국민임대,경기,0
2019-01,LH,국민임대,부산,0
2019-01,LH,국민임대,대구,0
2019-01,LH,국민임대,광주,0
2019-01,LH,국민임대,대전,0
2019-01,LH,국민임대,울산,0
2019-01,LH,국민임대,세종,0
2019-01,LH,국민임대,강원,0
2019-01,LH,국민임대,충북,0
2019-01,LH,국민임대,충남,0
2019-01,LH,국민임대,전북,0
2019-01,LH,국민임대,전남,0
2019-01,LH,국민임대,경북,0
2019-01,LH,국민임대,경남,0
2019-01,LH,국민임대,제주,0
2019-01,LH,공공임대,전국,3
2019-01,LH,공공임대,서울,0
2019-01,LH,공공임대,인천,0
