date,mb_yoy_pct,mb_level_100m_yen
2010/01,4.9,980675
2010/02,2.2,956928
2010/03,2.1,964571
2010/04,2.9,983836
2010/05,3.7,984323
2010/06,3.6,970240
2010/07,6.1,989359
2010/08,5.4,983995
2010/09,5.8,977173
2010/10,6.4,988248
2010/11,7.6,991866
2010/12,7.0,1040238
2011/01,5.5,1034826
2011/02,5.6,1010039
2011/03,16.9,1127432
2011/04,23.9,1218934
2011/05,16.2,1144208
2011/06,17.0,1134780
2011/07,15.0,1137324
2011/08,15.9,1140447
2011/09,16.7,1140181
2011/10,17.0,1156428
2011/11,19.5,1184978
2011/12,13.5,1180195
2012/01,15.0,1189656
2012/02,11.3,1124409
2012/03,-0.2,1124618
2012/04,-0.3,1215003
2012/05,2.4,1171210
2012/06,5.9,1202142
2012/07,8.6,1235010
2012/08,6.5,1214626
2012/09,9.0,1243261
2012/10,10.8,1281344
2012/11,5.0,1244449
2012/12,11.8,1319837
2013/01,10.9,1319205
2013/02,15.0,1293148
2013/03,19.8,1347413
2013/04,23.1,1495975
2013/05,31.6,1541412
2013/06,36.0,1635375
2013/07,38.0,1703890
2013/08,42.0,1724437
2013/09,46.1,1817012
2013/10,45.8,1868687
2013/11,52.5,1897244
2013/12,46.6,1934594
2014/01,51.9,2004141
2014/02,55.7,2013223
2014/03,54.8,2085929
2014/04,48.5,2220795
2014/05,45.6,2243719
2014/06,42.6,2332465
2014/07,42.7,2431068
2014/08,40.5,2423138
2014/09,35.3,2458169
2014/10,36.9,2557542
2014/11,36.7,2593603
2014/12,38.2,2674016
2015/01,37.4,2753859
2015/02,36.7,2752617
2015/03,35.2,2821182
2015/04,35.2,3003275
2015/05,35.6,3043476
2015/06,34.2,3130770
2015/07,32.8,3228211
2015/08,33.3,3229269
2015/09,35.1,3321941
2015/10,32.5,3388877
2015/11,32.5,3437218
2015/12,29.5,3463793
2016/01,28.9,3551030
2016/02,29.0,3550415
2016/03,28.5,3626050
2016/04,26.8,3808364
2016/05,25.5,3818397
2016/06,25.4,3927119
2016/07,24.7,4024578
2016/08,24.2,4009981
2016/09,22.7,4075081
2016/10,22.1,4138966
2016/11,21.5,4176573
2016/12,23.1,4263922
2017/01,22.6,4352054
2017/02,21.4,4309696
2017/03,20.3,4362634
2017/04,19.8,4562398
2017/05,19.4,4559954
2017/06,17.0,4594854
2017/07,15.6,4650692
2017/08,16.3,4663075
2017/09,15.6,4711205
2017/10,14.5,4738791
2017/11,13.2,4725834
2017/12,11.2,4741265
2018/01,9.7,4772595
2018/02,9.4,4716382
2018/03,9.1,4759328
2018/04,7.8,4920203
2018/05,8.1,4929691
2018/06,7.4,4933638
2018/07,7.0,4976398
2018/08,6.9,4983868
2018/09,5.9,4988216
2018/10,5.9,5016198
2018/11,6.1,5013302
2018/12,4.8,4970034
2019/01,4.7,4997797
2019/02,4.6,4930980
2019/03,3.8,4942027
2019/04,3.1,5073520
2019/05,3.6,5108086
2019/06,4.0,5129912
2019/07,3.7,5160145
2019/08,2.8,5125110
2019/09,3.0,5138266
2019/10,3.1,5171008
2019/11,3.3,5176305
2019/12,3.2,5127767
2020/01,2.9,5141329
2020/02,3.6,5106311
2020/03,2.8,5078486
2020/04,2.3,5189225
2020/05,3.9,5308787
2020/06,6.0,5440233
2020/07,9.8,5667600
2020/08,11.5,5715919
2020/09,14.3,5871952
2020/10,16.3,6012845
2020/11,16.5,6029293
2020/12,18.3,6065491
2021/01,18.9,6114206
2021/02,19.6,6106078
2021/03,20.8,6133816
2021/04,24.3,6448961
2021/05,22.4,6499142
2021/06,19.1,6480471
2021/07,15.4,6541081
2021/08,14.9,6569573
2021/09,11.7,6557964
2021/10,9.9,6607426
2021/11,9.3,6590000
2021/12,8.3,6570831
2022/01,8.4,6627169
2022/02,7.6,6571737
2022/03,7.9,6621323
2022/04,6.6,6874736
2022/05,4.6,6800213
2022/06,3.9,6734841
2022/07,2.8,6722218
2022/08,0.4,6597138
2022/09,-3.3,6341934
2022/10,-6.9,6152627
2022/11,-6.4,6168203
2022/12,-6.1,6172224
2023/01,-3.8,6376936
2023/02,-1.6,6464403
2023/03,-1.0,6557809
2023/04,-1.7,6759281
2023/05,-1.1,6727323
2023/06,-1.0,6669938
2023/07,-1.3,6633513
2023/08,1.2,6674477
2023/09,5.6,6698608
2023/10,9.0,6706127
2023/11,8.9,6715329
2023/12,7.8,6654863
2024/01,4.8,6680019
2024/02,2.4,6616688
2024/03,1.6,6662400
2024/04,2.1,6898964
2024/05,0.9,6788243
2024/06,0.6,6711098
2024/07,1.0,6701436
2024/08,0.6,6711832
2024/09,-0.1,6694463
2024/10,-0.3,6688723
2024/11,-0.3,6697481
2024/12,-1.0,6585240
