date,ppi_yoy
2010/01,-2.1
2010/02,-1.6
2010/03,-1.3
2010/04,-0.2
2010/05,0.4
2010/06,0.5
2010/07,-0.1
2010/08,0.0
2010/09,-0.1
2010/10,0.9
2010/11,0.9
2010/12,1.2
2011/01,0.6
2011/02,0.7
2011/03,1.3
2011/04,1.8
2011/05,1.6
2011/06,1.9
2011/07,2.2
2011/08,2.2
2011/09,2.0
2011/10,1.3
2011/11,1.3
2011/12,0.8
2012/01,0.3
2012/02,0.4
2012/03,0.3
2012/04,-0.7
2012/05,-0.9
2012/06,-1.5
2012/07,-2.2
2012/08,-2.0
2012/09,-1.5
2012/10,-1.1
2012/11,-1.1
2012/12,-0.7
2013/01,-0.4
2013/02,-0.1
2013/03,-0.5
2013/04,0.1
2013/05,0.6
2013/06,1.2
2013/07,2.1
2013/08,2.3
2013/09,2.3
2013/10,2.5
2013/11,2.6
2013/12,2.5
2014/01,2.5
2014/02,1.8
2014/03,1.7
2014/04,4.2
2014/05,4.4
2014/06,4.5
2014/07,4.4
2014/08,4.0
2014/09,3.6
2014/10,2.8
2014/11,2.6
2014/12,1.8
2015/01,0.3
2015/02,0.4
2015/03,0.7
2015/04,-2.1
2015/05,-2.2
2015/06,-2.4
2015/07,-3.2
2015/08,-3.8
2015/09,-4.0
2015/10,-3.8
2015/11,-3.7
2015/12,-3.6
2016/01,-3.4
2016/02,-3.7
2016/03,-4.0
2016/04,-4.4
2016/05,-4.6
2016/06,-4.5
2016/07,-4.2
2016/08,-3.8
2016/09,-3.3
2016/10,-2.7
2016/11,-2.3
2016/12,-1.2
2017/01,0.5
2017/02,1.0
2017/03,1.4
2017/04,2.1
2017/05,2.1
2017/06,2.2
2017/07,2.5
2017/08,2.8
2017/09,3.0
2017/10,3.5
2017/11,3.5
2017/12,3.0
2018/01,2.7
2018/02,2.5
2018/03,2.0
2018/04,2.2
2018/05,2.7
2018/06,2.9
2018/07,3.1
2018/08,3.1
2018/09,3.0
2018/10,3.0
2018/11,2.2
2018/12,1.4
2019/01,0.5
2019/02,0.9
2019/03,1.3
2019/04,1.3
2019/05,0.6
2019/06,-0.2
2019/07,-0.7
2019/08,-0.9
2019/09,-1.1
2019/10,-0.4
2019/11,0.1
2019/12,0.9
2020/01,1.5
2020/02,0.7
2020/03,-0.4
2020/04,-2.4
2020/05,-2.7
2020/06,-1.6
2020/07,-0.9
2020/08,-0.6
2020/09,-0.8
2020/10,-2.2
2020/11,-2.4
2020/12,-2.1
2021/01,-1.8
2021/02,-0.9
2021/03,1.0
2021/04,3.8
2021/05,5.0
2021/06,5.0
2021/07,5.6
2021/08,5.7
2021/09,6.2
2021/10,8.2
2021/11,9.1
2021/12,8.6
2022/01,9.2
2022/02,9.5
2022/03,9.5
2022/04,10.2
2022/05,9.6
2022/06,9.8
2022/07,9.5
2022/08,9.8
2022/09,10.4
2022/10,9.7
2022/11,10.0
2022/12,10.6
2023/01,9.6
2023/02,8.4
2023/03,7.4
2023/04,6.1
2023/05,5.4
2023/06,4.5
2023/07,3.7
2023/08,3.5
2023/09,2.4
2023/10,1.2
2023/11,0.6
2023/12,0.3
2024/01,0.3
2024/02,0.8
2024/03,1.0
2024/04,1.2
2024/05,2.6
2024/06,2.8
2024/07,3.3
2024/08,2.7
2024/09,3.2
2024/10,3.8
2024/11,3.9
2024/12,4.1
