date,nikkei_close
2010/01,10198
2010/02,10126
2010/03,11090
2010/04,11057
2010/05,9901
2010/06,9738
2010/07,9537
2010/08,8824
2010/09,9369
2010/10,9202
2010/11,10022
2010/12,10229
2011/01,10237
2011/02,10624
2011/03,9755
2011/04,9849
2011/05,9693
2011/06,9816
2011/07,10085
2011/08,8955
2011/09,8700
2011/10,8988
2011/11,8434
2011/12,8455
2012/01,8802
2012/02,9723
2012/03,10084
2012/04,9521
2012/05,8542
2012/06,8720
2012/07,8695
2012/08,8840
2012/09,8870
2012/10,8928
2012/11,9447
2012/12,10395
2013/01,11138
2013/02,11559
2013/03,12398
2013/04,13861
2013/05,13774
2013/06,13677
2013/07,13668
2013/08,13389
2013/09,14455
2013/10,14328
2013/11,15661
2013/12,16291
2014/01,14914
2014/02,14841
2014/03,14827
2014/04,14304
2014/05,14632
2014/06,15162
2014/07,15620
2014/08,15425
2014/09,16173
2014/10,16413
2014/11,17460
2014/12,17450
2015/01,17674
2015/02,18797
2015/03,19207
2015/04,19520
2015/05,20563
2015/06,20236
2015/07,20585
2015/08,18890
2015/09,17388
2015/10,19083
2015/11,19747
2015/12,19034
2016/01,16635
2016/02,15767
2016/03,16759
2016/04,16666
2016/05,17234
2016/06,15576
2016/07,16569
2016/08,16887
2016/09,16450
2016/10,17425
2016/11,18308
2016/12,19114
2017/01,18973
2017/02,19118
2017/03,18909
2017/04,19196
2017/05,19650
2017/06,20033
2017/07,19925
2017/08,19646
2017/09,20356
2017/10,21458
2017/11,22939
2017/12,22765
2018/01,23098
2018/02,22068
2018/03,21454
2018/04,22467
2018/05,22202
2018/06,22304
2018/07,22554
2018/08,22865
2018/09,24120
2018/10,21920
2018/11,21646
2018/12,20014
2019/01,20773
2019/02,21386
2019/03,21206
2019/04,21925
2019/05,21117
2019/06,21276
2019/07,21521
2019/08,20704
2019/09,21756
2019/10,22974
2019/11,23294
2019/12,23656
2020/01,21142
2020/02,21084
2020/03,18917
2020/04,20193
2020/05,21877
2020/06,22288
2020/07,21710
2020/08,23140
2020/09,23185
2020/10,22977
2020/11,26644
2020/12,27444
2021/01,28197
2021/02,28966
2021/03,29178
2021/04,28813
2021/05,28860
2021/06,28791
2021/07,27283
2021/08,27780
2021/09,29453
2021/10,28892
2021/11,27821
2021/12,28791
2022/01,26717
2022/02,26527
2022/03,27821
2022/04,26847
2022/05,27279
2022/06,25935
2022/07,27802
2022/08,28091
2022/09,25937
2022/10,27587
2022/11,27969
2022/12,26095
2023/01,27327
2023/02,27446
2023/03,28041
2023/04,28856
2023/05,30887
2023/06,33189
2023/07,32759
2023/08,31624
2023/09,31857
2023/10,30858
2023/11,33486
2023/12,33464
2024/01,38487
2024/02,39166
2024/03,40369
2024/04,37934
2024/05,38487
2024/06,39583
2024/07,35580
2024/08,38647
2024/09,37020
2024/10,35759
2024/11,38208
2024/12,39894
