date,mansion_index
2010/01,96.9
2010/02,100.8
2010/03,99.6
2010/04,99.6
2010/05,99.7
2010/06,98.3
2010/07,100.7
2010/08,102.4
2010/09,98.0
2010/10,103.6
2010/11,97.6
2010/12,102.7
2011/01,98.4
2011/02,100.3
2011/03,102.6
2011/04,100.5
2011/05,101.2
2011/06,101.6
2011/07,99.4
2011/08,99.1
2011/09,102.3
2011/10,101.7
2011/11,99.0
2011/12,98.3
2012/01,100.4
2012/02,98.5
2012/03,99.9
2012/04,100.8
2012/05,98.9
2012/06,99.5
2012/07,101.2
2012/08,101.2
2012/09,99.1
2012/10,98.9
2012/11,98.2
2012/12,98.3
2013/01,98.9
2013/02,97.5
2013/03,99.5
2013/04,101.3
2013/05,102.6
2013/06,103.9
2013/07,103.0
2013/08,106.4
2013/09,106.0
2013/10,106.1
2013/11,107.4
2013/12,109.4
2014/01,108.6
2014/02,111.7
2014/03,110.5
2014/04,109.6
2014/05,110.5
2014/06,110.4
2014/07,113.4
2014/08,112.8
2014/09,113.0
2014/10,114.6
2014/11,115.2
2014/12,114.0
2015/01,117.1
2015/02,117.8
2015/03,121.2
2015/04,121.1
2015/05,120.5
2015/06,120.7
2015/07,121.9
2015/08,123.0
2015/09,122.9
2015/10,125.5
2015/11,124.2
2015/12,124.5
2016/01,129.1
2016/02,127.7
2016/03,126.8
2016/04,128.9
2016/05,131.6
2016/06,129.8
2016/07,131.1
2016/08,130.9
2016/09,131.9
2016/10,131.6
2016/11,131.6
2016/12,132.0
2017/01,136.4
2017/02,134.8
2017/03,136.7
2017/04,135.4
2017/05,135.3
2017/06,135.9
2017/07,140.1
2017/08,138.3
2017/09,137.0
2017/10,135.8
2017/11,139.6
2017/12,137.6
2018/01,141.1
2018/02,139.1
2018/03,140.4
2018/04,141.2
2018/05,140.9
2018/06,141.3
2018/07,141.2
2018/08,144.1
2018/09,139.6
2018/10,141.2
2018/11,144.8
2018/12,142.0
2019/01,146.1
2019/02,145.6
2019/03,147.8
2019/04,148.0
2019/05,145.1
2019/06,146.9
2019/07,147.4
2019/08,145.9
2019/09,143.9
2019/10,148.6
2019/11,149.3
2019/12,149.2
2020/01,152.1
2020/02,151.5
2020/03,153.0
2020/04,152.9
2020/05,155.6
2020/06,151.8
2020/07,150.9
2020/08,152.3
2020/09,153.6
2020/10,155.0
2020/11,154.4
2020/12,157.2
2021/01,158.2
2021/02,161.4
2021/03,161.1
2021/04,163.2
2021/05,164.1
2021/06,164.2
2021/07,167.5
2021/08,168.8
2021/09,167.8
2021/10,165.9
2021/11,169.6
2021/12,167.4
2022/01,171.8
2022/02,176.6
2022/03,176.3
2022/04,178.9
2022/05,184.0
2022/06,177.0
2022/07,183.0
2022/08,181.1
2022/09,180.2
2022/10,181.3
2022/11,183.3
2022/12,181.4
2023/01,187.8
2023/02,186.2
2023/03,189.0
2023/04,190.8
2023/05,187.9
2023/06,186.1
2023/07,189.0
2023/08,189.0
2023/09,192.1
2023/10,192.0
2023/11,188.9
2023/12,191.6
2024/01,200.3
2024/02,200.3
2024/03,199.4
2024/04,201.7
2024/05,201.5
2024/06,203.8
2024/07,204.8
2024/08,210.6
2024/09,210.4
2024/10,207.0
2024/11,212.0
2024/12,210.3
